,date,title,content,source,url,category
0,2022-02-05,"Beijing 2022 opening ceremony inspires world with warm, hopeful future","Photos: Li Hao/GT, XinhuaFourteen years after the 2008 Summer Olympics, Beijing, as the only city that hosted both the Summer and Winter Olympics, has once again delivered a spectacular and breathtaking opening ceremony on Friday night for the world.After a countdown with fireworks, the opening ceremony of the Beijing 2022 Winter Olympic Games kicked off at the National Stadium with splendid visuals. The night sky was lit again by fireworks, which formed the Chinese characteristics of ""lichun"" and the English word ""spring. ""Friday also marks ""lichun,"" or the beginning of spring, which carries an inspiring message to the world under the shadow of the COVID-19 pandemic and calls on the world to come together for a shared future. In Chinese traditional culture, ""lichun"" symbolizes hope and vitality.From the display of rising Olympic rings and a colossal ice cube, to the unique ignition of a ""snowflake"" Olympic flame, Beijing is innovating green and high-tech standards for the Winter Games. Numerous innovations and technologies, including 5G to AI to space technologies, also came together in perfect fashion to ensure that China delivered what it promised: a simple, safe and splendid event for all. Photos: Li Hao/GT, Xinhua Photos: Li Hao/GT, Xinhua Photos: Li Hao/GT, Xinhua Photos: Li Hao/GT, Xinhua Photos: Li Hao/GT, Xinhua Photos: Li Hao/GT, Xinhua",Global Times(China),https://www.globaltimes.cn/page/202202/1251420.shtml,china/diplomacy
1,2022-02-05,Beijing Olympics to give zero-COVID policy due credit,"Beijing 2022 opening ceremony Photo:Li Hao/GTThe Beijing 2022 Winter Olympic Games, which kicked off on February 4, will offer the world a short reprieve in what has already been a difficult winter season. Due to threat of the Omicron variant of COVID-19, the ongoing pandemic is entering a new stage after more than two years of intense struggle against the virus. On top of the entrainment sports, the spirit of the Olympic Games offers an opportunity for solidarity in these troubling times. It may also offer the world a key opportunity to observe China's effective COVID-19 containment strategies, seeing how its efficient system can mitigate risk to the point that international spectacles can continue largely as normal. Chinese President Xi Jinping reiterated in his keynote speech to the World Economic Forum's latest online summit on January 17 that the pandemic is a global issue. He said that countries are not riding separately in some 190 small boats, but are rather all in a giant ship on which our shared destiny hinges. Small boats may not survive a storm, but a giant ship is strong enough to brave a storm. This perspective should give the world hope that our odds of defeating the virus once for all are higher together since a large ship stands a better chance than many smaller boats. China has also been more than willing to share expertise during the pandemic, sending information about the virus - including the virus' sequenced genome - during the initial phases of the pandemic. In early January, the World Health Organization praised the Beijing 2022 Organizing Committee for its preparatory work in ensuring the safety of athletes and essential workers during the upcoming games. The hosting city is stepping up efforts to put the risk of transmission under control during the event and, if everything goes smoothly as expected, the event should be a key learning experience for the world on how to deliver such international events in the future. For too long the world has ignored China's successful management of the pandemic for political reasons, which has effectively driven countries to fight the pandemic without using the best information. The fact is that, as the world's largest country by population, China's containment strategy is impressive - but it is not a miracle. It is the result of a people-first, whole-of-society approach to containing the spread of the virus. Some media outlets in some Western countries have painted China's strategy as draconian or authoritarian, often resorting to outright lies to make China's success appear undesirable while denying the results as they stand. It is the height of politicization when a strategy that has doubtless saved the lives of millions of people can somehow be viewed as morally wrong. Likewise, they have claimed that China's COVID-19 management through zero-COVID policy might be a drag on global economy when China is leading the world's global recovery specifically because of its COVID-19 strategy.In 2021, China recorded its highest GDP growth in nearly a decade at 8.1 percent. It recorded another record-breaking year of FDI and also saw its trade volume surpass $6 trillion for the first time. Had China suffered the same economic shutdowns as most of the world, this would have been unachievable. At the same time, had China suffered severe slowdowns due to soaring cases, it would have hurt the rest of the world in serious ways. This is because China has been a key supplier of medical supplies, such as PPE and vaccines, which many countries rely on.Furthermore, China is a major producer of things like electronics and appliances that the world stay-at-home economy is dependent on. So it is no exaggeration to say the world's ability to adapt to the challenge of COVID-19 is predicated on China's strict containment strategies - not suffering because of it. Economic data from around the world clearly shows that higher COVID-19 cases are closely correlated with lower economic output. Just as the international community rejected the politicization of the Olympics this year, so too should the international community reject the politicization of the pandemic. Countries should look to Beijing this February with an open mind, taking it as a key opportunity to learn about how to effectively contain the virus. The author is a Prague-based American journalist, political analyst and freelance reporter. opinion@globaltimes.com.cn",Global Times(China),https://www.globaltimes.cn/page/202202/1251466.shtml,opinion/viewpoint
2,2022-02-05,"China-Russia meeting injects strong momentum for bilateral ties, world peace","Chinese President Xi Jinping (right) meets and holds talks with visiting Russian President Vladimir Putin at the Diaoyutai State Guesthouse in Beijing on February 4, 2022. Photo: XinhuaThe presence of Russian President Vladimir Putin at the opening ceremony of the Beijing 2022 Olympic Winter Games is telling. The meeting between Chinese President Xi Jinping and Putin on Friday also carried significant weight, as the two leaders not only draw a new blueprint for bilateral relations, but also promote world stability and development in a post-pandemic period against the backdrop of intensifying geopolitical and economic conflicts and fierce competition among major powers. A model of neighborly, major power relationsSince the end of the Cold War, China and Russia, learning from history and based on their national interests, have established good-neighborly relations and a partnership of strategic coordination, which were confirmed legally with the signing of the China-Russia Treaty of Good-Neighborliness and Friendly Cooperation in 2001, setting a model for neighbors and major powers. The features of this bilateral relationship are maintaining independence and treating each other as equals; good-neighborliness and friendly cooperation; no-alliance, nonconfrontation and not targeting third countries. The bilateral treaty was extended in 2021 and given a new connotation. China-Russia relations, at a high level, are endogenous and stable. With close political ties and well-developed mechanisms for exchanges and cooperation, the two countries share a high level of political mutual trust and are economically interdependent. Trade between China and Russia grew from $5.86 billion in 1992 to $107.76 billion in 2020, and surpassed $140 billion in 2021, with an optimized structure of trade goods. China has been Russia's top trading partner for 12 consecutive years, and Russia has always been among China's major trade partners. A partnership for energy cooperation was also consolidated by joint efforts in the fields of oil and gas, nuclear energy and electricity. Among the 15 documents signed during the meeting of the two leaders on Friday, three are related to energy.The pillar of world stabilityThe international community is currently facing serious security challenges and problems. Strategic weapons such as anti-ballistic missiles (ABM) and intermediate-range nuclear forces (INF) developed by major forces are eroding global and regional stability. The US is containing China in the Asia-Pacific region, engaging in military confrontation with Russia in Europe and inciting chaos in the regions surrounding China and Russia. As major powers, China and Russia are responsible for maintaining world peace. Both countries have promoted multipolarity and opposed unipolar hegemony, such as the US withdrawal from the ABM and INF treaties, its deployment of a global ABM system, and its formation of ""sinister gangs"" of Quad and AUKUS. Through diplomatic and military means, China and Russia have actively cooperated on the Korean Peninsula nuclear issue, the Iran nuclear issue and the Afghanistan issue after the hastened US withdrawal. The two countries agree that the strategic partnership of coordination can meet their political needs and they have no intention to form a military alliance.During their meeting in Beijing, the Chinese and Russian leaders reiterated their common position on maintaining world stability and reached a new consensus on jointly safeguarding global strategic stability and regional security. The two countries will safeguard the international system with the UN at the core and maintain international order based on international law.Leading forces of economic globalization, regionalizationIn recent years, the process of globalization and regionalization has been severely challenged. An anti-globalization trend is on the rise and the US has resumed unilateralism and protectionism and set aside WTO rules, which seriously disrupted the globalization process. The US and the West have also been politicizing regional cooperation. The sluggish process of globalization and regionalization, coupled with the ravaging pandemic, has severely hampered global economic recovery.While strengthening bilateral economic and trade cooperation, China and Russia are actively maintaining the mainstream of economic globalization to promote world economic recovery. The two countries should continue to safeguard the multilateral trading system of the WTO, promote the full implementation and timely improvement of existing rules, jointly oppose trade protectionism and promote the establishment of an open world economy.China and Russia will jointly promote economic integration of the Asia-Pacific region and resist the fragmentation and politicization of regional cooperation. China and Russia will develop economic and trade cooperation under the framework of the Shanghai Cooperation Organisation and promote the integrated development of East Asia, Eurasia and South Asia.The meeting of Chinese and Russian leaders in Beijing will bring China-Russia relations to a higher level and inject a strong China-Russia joint force into the world's stability and development.The author is head of the Russian Foreign Policy Research Department at the Institute of Russian, Eastern European and Central Asian Studies, Chinese Academy of Social Sciences. opinion@globaltimes.com.cn",Global Times(China),https://www.globaltimes.cn/page/202202/1251468.shtml,opinion/viewpoint
3,2022-02-05,Chinese President Xi Jinping is holding a banquet at the Great Hall of the People in Beijing to welcome international dignitaries attending the Beijing 2022 Winter Olympic Games.,Chinese President Xi Jinping is holding a banquet at the Great Hall of the People in Beijing to welcome international dignitaries attending the Beijing 2022 Winter Olympic Games.,Global Times(China),https://www.globaltimes.cn/page/202202/1251447.shtml,china/diplomacy
4,2022-02-05,"From 2008 to 2022, a confident China shows the world a new state of mind","Photo taken on Feb. 4, 2022 shows a cauldron holding the Olympic flame during the opening ceremony of the Beijing 2022 Olympic Winter Games. (Photo: Xinhua)The 2022 Beijing Winter Olympic Games began with a fascinating, vibrant, and glittering opening ceremony that presented the world a China that is becoming more confident. Fourteen years after having hosted the 2008 Games, the country has marched into a new era.This era is different because China no longer has to strive hard to showcase itself to the world. Back in 2008, when China was just about to prove itself on the world stage, grabbing an Olympic moment made the country and the people more than just overjoyed, because it was a precious opportunity for China to show the world ""who I am."" Indeed, the 2008 Games were a game-changer - many people around the world, especially Westerners, no longer viewed China as poor and pathetic, and it was from then on that China peacefully rose to global leadership both politically and economically.With the opening ceremony of the 2008 Games acting as the innovation foundation for the 2022 Games, China is no longer burdened with the task of explaining to the world ""who I am."" Rather, it is in a position to review the world and tell the world ""what I am doing"" in a relaxed and confident manner. If the opening ceremony of the 2008 Beijing Olympics showed the world a magnificent Chinese civilization, the opening ceremony of the 2022 Games presented Chinese civilization and culture in a delicate and light-hearted way. Compared to the 2008 spectacular, the Friday event was noticeably toned down and shortened to about two hours and 20 minutes. This was partly due to the COVID-19 pandemic and was intended to balance the themes of ""simpleness"" and ""splendidness."" Although the Winter Olympic Games generally attract less attention than the Summer edition, the opening ceremony of the Beijing Winter Olympics has already caught as many eyes as one can imagine. From the countdown of the 24 solar terms of the Chinese lunar calendar, parade of countries in accordance to the number of strokes that are counted in the first character of their Chinese names, to the unprecedented flame-lit ceremony, each process entails a Chinese element that speaks for itself. Through the opening ceremony of Beijing 2022, China was also shown as a romantic country. Unlike the French version of romance, China's romance is deeply embedded in its cultural maturity and confidence as well as the profound national pride. Indeed, the opening ceremony featured no professional performers or celebrities, only ordinary people. The focus was not on China the country, but on the Chinese people as a whole. Zhang Tengjun, deputy director of the Department for Asia-Pacific Studies at the China Institute of International Studies, told the Global Times that the event sent a unified and warm signal to the world and showcased what humanity should mean. ""Focusing on the people shows China's open-mindedness and elegance, with which China faces the world with more confidence, more kindness and more warmth. This is a new state of mind. With today's economic volume and global status, China aims to present the world an amicable, affable and respectable image,"" said Zhang. With this image in mind, China and the Chinese people do not care too much about the negative sentiment and attitude of US-led Western countries toward China. It is with this image in mind that China withstands their malicious and groundless accusations against the country and focuses on developing its own strengths. It is also with this image in mind that China sticks to its zero-COVID policy with the aim of protecting the lives of people. The opening ceremony of the Beijing Winter Games was a success despite the so-called diplomatic boycott led by the US, and so will be the rest of the Games. All maneuvers that intend to embarrass China will turn out to be embarrassing for the instigators as China continues to calmly march forward. The Beijing Winter Games take place during a time when geopolitical tensions between China and the US-led West are running high. But the event is set to become a watershed of how the West views China as well as how China and the Chinese people view themselves. Confidence does not need to be spoken out, but flows tranquilly.",Global Times(China),https://www.globaltimes.cn/page/202202/1251450.shtml,opinion/observer
5,2022-02-05,`History will engrave this stroke`: Global Times editorial,"Beijing 2022 opening ceremony Photo:Li Hao/GT On Friday night, as a ""big snowflake"" symbolizing human unity lifted an environmentally friendly Olympic torch, Beijing, the world's first ""double Olympic city,"" once again welcomed old and new friends from all over the world with open arms within a span of 14 years. The Beijing 2022 Winter Olympic Games, the first major global sports event held as scheduled since the outbreak of the COVID-19 pandemic, is of symbolic significance to both China and the world. As Chinese President Xi Jinping pointed out, ""history will engrave this stroke. ""The water of the Yellow River rushed down, the five Olympic rings broke through the ice, and the snowflakes merged into one... In a romantic story of ice and snow, the opening ceremony once again amazed the world. It refreshes glorious memories of the 2008 Beijing Olympics, and inspires the emotional resonance of mankind to ""come together for a shared future."" At the opening ceremony, people saw the poetic scene of ""snowflakes as big as a table,"" and also felt the sentiment of ""building a community with a shared future for mankind."" Amid changes and a pandemic unseen in a century, the Beijing Games demonstrates the unity and resilience of mankind, and also brings joy and hope to the world. ""The Olympic Games are maybe the most complex event on this planet,"" International Olympic Committee President Thomas Bach once said. ""There are a lot of pieces in this huge and very difficult jigsaw puzzle."" It can be imagined how difficult it is to organize the Games amid the pandemic. But China has overcome one difficulty after another and fulfilled its solemn promise to the world. By delivering a simple, safe and splendid event, China demonstrated that choosing Beijing as the host city ""really is a safe choice,"" as Bach said. The international community once again witnessed that the Chinese people's words can be counted on and China can be trusted.From 2008 to 2022, China hosted two Olympic Games, both at critical moments when the world faces major challenges. Whether in dealing with the global financial crisis back then or in fighting the COVID-19 pandemic now, China's contribution to the world is obvious to all. As President Xi pointed out, from ""One World, One Dream"" in 2008 to ""Together for a Shared Future"" in 2022, China has taken an active part in the Olympic Movement and consistently championed the Olympic spirit. China is committed to pursuing the Olympic ideal with concrete actions.As the Winter Olympics kicks off, 346 million Chinese people have participated in ice and snow sports. China has achieved its goal of engaging 300 million people in winter sports ahead of schedule. China's innovative exploration and contribution are changing the world's ice and snow sports landscape.This is why Bach made the judgment that the Beijing Games will become a dividing line in the history of world ice and snow sports. For China, promoting national fitness and building a sports powerhouse is accelerating with the convening of the Winter Olympic Games. Meanwhile, China has achieved excellent results in terms of both preparation for the Winter Olympics and local development, creating a new model for the sustainable development of the Olympic Games and the region. Chongli of Hebei Province was still a poor county at the end of 2015, but now it has been lifted out of poverty, with one out of every five local residents making a living out of the ""snow industry."" Shougang, an old industrial site, has transformed into a new Olympic landmark. ""Water Cube"" has turned into ""Ice Cube,"" the venue for the 2008 Beijing Olympic Games has become a vivid example of reusing the Olympic wealth.China pledged to hold the Games in a ""green, inclusive, open and clean"" manner, which enriches the Olympic culture and contributes Chinese wisdom and Chinese solutions to the world.February 4 is not only the opening day of the Winter Olympics, but also marks the Chinese solar term ""lichun"" - beginning of spring, which means the recovery of life on earth and represents rebirth and hope. Currently, the COVID-19 pandemic is still spreading and geopolitical games are also heating up in certain areas. The desire of the international community to overcome difficulties and forge ahead has never been stronger. We expect the gathering under the Olympic rings to become the ""light at the end of the tunnel."" We firmly believe that the Beijing Games is a historical moment to display human unity, resilience and global cooperation. We wish the athletes will achieve good results under the new Olympic motto ""Faster, Higher, Stronger - Together.""",Global Times(China),https://www.globaltimes.cn/page/202202/1251421.shtml,opinion/editorial
6,2022-02-05,US House chips law to compete with China won't achieve aims: expert,"An employee showcases a semiconductor integrated circuit at an industry expo. Photo: VCGThe US took its maneuvers a step further on Friday as the House of Representatives narrowly passed a multibillion-dollar bill aimed at increasing US competitiveness with China and strengthening US semiconductor manufacturing, thus setting up a dispute with the Senate. The House bill, which could wait weeks or months before being called final amid Senate talks, is an indication that the US is openly showing its China containment stance amid the latter's growing power especially in the high-tech sector, for which China should prepare fully and discreetly, experts said. Meanwhile, the bill won't be a concern to China which is firmly advancing on track to tech self-sufficiency.The bill started as a bipartisan push to bolster US manufacturing and research, but it has been mired in long-standing partisanship concerning US policy on China. The bill has to pass both chambers before it can be sent to the White House for US President Joe Biden's signature.The 2,900-page legislation authorizes nearly $300 billion for research and development, including $52 billion to subsidize semiconductor manufacturing and research into the key components used in automobiles and computers. It also has $45 billion over six years to ease supply-chain problems that have exacerbated shortages, Reuters reported. It authorizes $8 billion in US contributions to the Green Climate Fund established by the Paris Agreement to combat climate change and to help developing countries cope.House Republicans, however, criticized the bill on multiple points, including what they called a ""slush fund"" for climate programs. ""The bill is not likely to be enacted in its current form given disputes between the House and the Senate. Even if there is almost a consensus on 'targeting China,' some disputes about specific matters still exist,"" Chen Jing, vice president of the Technology and Strategy Research Institute, told the Global Times on Saturday.The Senate in June passed its own bill - the 2,376-page United States Innovation and Competition Act (USICA) - by 68-32. The legislation included $52 billion to increase domestic semiconductor production and authorizes $190 billion for US technology and research to compete with China.When asked for comment on the USICA a day after the bill's Senate passage, Foreign Ministry spokesperson Wang Wenbin said China firmly rejects the bill, which is ""filled with Cold War zero-sum mentality. """"How the US intends to develop and strengthen its competitiveness is its own business, but we are firmly against the US making an issue out of China and perceiving it as an imaginary enemy. The US is the greatest threat to itself. Getting its own house in order trumps all else,"" Wang remarked.The current anti-China campaign is basically a US self-directed show that will not achieve what it wants; moreover, it might place the interests of US firms in danger given the interwoven cooperation between firms on both sides, Chen noted. ""We have already dropped any illusion about the US since its crackdown on Huawei. Even if there is no such US legislation, we have recognized the reality and started making preparations in case the US makes any other leading Chinese firm its next target,"" he said.Global Times",Global Times(China),https://www.globaltimes.cn/page/202202/1251451.shtml,source/economy
7,2022-02-05,"Xi meets with Ecuadorian president, releasing joint statement on deepening bilateral ties","National flags of China and Ecuador Photo: VCGChinese President Xi Jinping met with Ecuadorian President Guillermo Lasso, who attended the opening ceremony of the Beijing 2022 Winter Olympic Games on Friday, at the Great Hall of the People in Beijing on Saturday. A joint statement on deepening bilateral ties was released, which is set to push China-Ecuador relations to a new phase.The two sides should strengthen strategic communication, take the opportunity of launching negotiations around free trade agreement and deepen practical cooperation, Xi said.Bilateral trade increased last year against the headwinds of the COVID-19 pandemic, and cooperation around energy, infrastructure and telecommunications has yielded fruitful results.Both sides should continue to promote the Belt and Road Initiative (BRI) cooperation, and create new growth areas such as health, the digital economy, and the green Silk Road, Xi noted.China is willing to continue providing help for Ecuador in terms of fighting the pandemic, and strengthen bilateral cooperation on vaccines.Meanwhile, he expressed the hope that Ecuador could continue providing a fair and convenient business environment for Chinese firms operating in the Latin American country.For his part, Lasso said China is the most important partner for Ecuador, and the cooperation with China is crucial for Ecuadorian social and economic development, while expressing appreciation for China's support in his country's COVID-19 vaccination rollout.Ecuador firmly supports the one-China principle and hopes to strengthen bilateral cooperation in trade, investment, energy, infrastructure and other fields, he said, adding that the country will actively participate in the construction of BRI.Global Times",Global Times(China),https://www.globaltimes.cn/page/202202/1251474.shtml,china/diplomacy
8,2022-02-05,"Xi meets with Egyptian president, calls bilateral ties example of win-win cooperation","Chinese President Xi Jinping (right) meets with Egyptian President Abdel-Fattah al-Sisi at the Great Hall of the People in Beijing, capital of China on February 5, 2022. Photo: XinhuaChinese President Xi Jinping on Saturday met with Egyptian President Abdel-Fattah al-Sisi, who attended the opening ceremony of the Beijing 2022 Winter Olympic Games on Friday, at the Great Hall of the People in Beijing on Saturday. Xi pointed out that in recent years, China-Egypt political mutual trust has been consolidated and practical cooperation has yielded fruitful results. Highlights have also been seen in the two countries' anti-pandemic cooperation. The comprehensive cooperative partnership between China and Egypt sets an example for China's win-win cooperation with Arabian, African and developing countries, Xi said. Xi noted that amid profound changes unseen in a century, China and Egypt shared the common ideology of defending their own interests, pursuing common development and enhancing people's well-being as well as promoting fairness and justice in the world. Xi called on the two countries to continue to support each other on issues of interest and major concerns. The two sides should deepen mutually beneficial cooperation, continue to promote the joint construction of the Belt and Road Initiative and Egypt's Vision 2030, advance cooperation projects such as the development of the Suez Canal Corridor, and carry out cooperation on global development initiatives, he said. Xi called on the two sides to lead the way in China's cooperation with the Arab world and Africa, to build a China-Arab community with a shared future in a new era. He also vowed to continue to support Egypt in fighting against the COVID-19 pandemic. Egypt has been cooperating with Chinese COVID-19 vaccine manufacturer Sinovac in clinical trials since 2020. Sinovac announced Saturday that it is helping Egypt build an automatic refrigeration storage that can store as many as 150 million shots, which will be the biggest in Africa when completed. The Egyptian president thanked President Xi for inviting him to Beijing to attend the opening ceremony, which was excellent and demonstrated China's strength and influence. Al-Sisi said the Belt and Road Initiative has prompted the economic development of Egypt and Egypt is willing to take active part in it. He also said Egypt would like to enhance cooperation with China in various areas, to be China's real friend, and to cope with various challenges together with China. Al-Sisi also invited Xi to visit Egypt as soon as possible after the end of the pandemic. Global Times",Global Times(China),https://www.globaltimes.cn/page/202202/1251453.shtml,china/diplomacy
9,2022-02-05,"Xi meets with presidents from Central Asia, as China provides new model for promoting stability, equality","Chinese President Xi Jinping meets with Turkmen President Gurbanguly Berdymukhamedov at the Great Hall of the People in Beijing, capital of China, Feb. 5, 2022. (Xinhua) Chinese President Xi Jinping meets with Kazakh President Kassym-Jomart Tokayev at the Great Hall of the People in Beijing, capital of China, Feb. 5, 2022. (Xinhua)Chinese President Xi Jinping met with presidents of Kazakhstan, Turkmenistan, Uzbekistan, and Tajikistan, respectively, on Saturday, who attended the opening ceremony of the Beijing 2022 Winter Olympic Games the previous day. The statements issued after the meetings indicated that the China-Central Asia cooperation and relations will be elevated to a new level.During his meeting with Turkmen President Gurbanguly Berdymukhamedov, Xi said that China is ready to work with Turkmenistan to focus on the future and long-term cooperation, expand the volume and scale of bilateral natural gas cooperation, expand cooperation across the industrial chain and take natural gas cooperation to a new level. Berdymukhamedov also noted that Turkmenistan is ready to work with China to tap its potential, speed up cooperation on the construction of the Line D, part of the Central Asia-China Gas Pipeline, and other important projects so as to elevate China-Turkmenistan relations to a higher level. President Xi met with Kazakh President Kassym-Jomart Tokayev the same day. Xi stressed that China-Kazakhstan relations have gone beyond a bilateral scope and are of great significance to regional and world peace and stability, and that China firmly supports Kazakhstan in safeguarding independence, sovereignty, and territorial integrity. China will remain committed to deepening cooperation and jointly ushering in another three golden decades of China-Kazakhstan relations, Xi noted.Tokayev congratulated China on successfully hosting the Beijing 2022 Winter Olympic Games and expressed gratitude for China's firm support of Kazakhstan's efforts to oppose external interference. Kazakhstan will provide firm support on issues concerning Chinaâs core interests as always and will not be provoked or disturbed by external forces. Kazakhstan looks forward to President Xi's visit as soon as possible, Tokayev said.When meeting with Uzbek President Shavkat Mirziyoyev, Xi said China is willing to help Uzbekistan build a modern industrial system, speed up the feasibility study for a China-Kirgizstan-Uzbekistan Railway and carry out cooperation for poverty alleviation. Mirziyoyev said China has become an example of a country committed to advanced, democratic and modern development, and that Uzbekistan thanks China for its valuable assistance at a difficult moment for the country during the pandemic, noting that Uzbekistan will firmly stick to the one-China policy.In his meeting with Tajik President Emomali Rahmon, Xi pointed out that Tajikistan was the first country to sign the Belt and Road Initiative with China and the two sides took the lead in establishing a development community. China is ready to import more high-quality agricultural products from Tajikistan and strengthen counter-terrorism cooperation with Central Asian nations. Rahmon said that further deepening the friendly and cooperative relations between China and Tajikistan was, is and will be the top diplomatic priority of Tajikistan.The meeting again demonstrated the solidarity between China and Central Asian countries after President Xi chaired a summit on January 25 via video link to commemorate the 30th anniversary of the establishment of diplomatic relations between China and five Central Asian countries.Experts believed that the concentrated meetings with Central Asian countriesâ representatives at the Beijing 2022 Winter Olympics reflect Chinaâs determination to place Central Asia in its strategic direction of stability. And it also reflects that the strategic cooperation between Central Asian countries and China has reached a new level.Zhu Yongbiao, director of the Center for Afghanistan Studies at Lanzhou University, told the Global Times on Saturday that Chinaâs cooperation with Central Asia is based on full respect for the independence and autonomy of Central Asian countries, and China regards them as equal partners.Zhu also pointed out that under the framework of the unprecedented China-Russia ties, it also provided a model for maintaining stability in international society, especially for promoting cooperation and equality across Central Asia. âBut it was under the premise that it should be in line with the interests of Central Asian countries.â Zhu stressed.In early January, Kazakhstan became a global newsmaker after organized groups of rebels attacked government buildings, police stations, and even the Kazakh National Security Committee's Almaty branch building in broad daylight. At the request of President Tokayev, Russia extended timely assistance to Kazakhstan to quell the turmoil. And China expressed its firm support to Russia and Kazakhstan in cracking down on rioters, which Chinese experts on Central Asia affairs believed was good practice for China and Russia to consolidate the stability of the whole region.âIn fact, the regional cooperation between China and Russia has created a new mode of cooperation in a new era, which respects the will and autonomy of the third party as well as their status. It also guaranteed the coordination among the great powers.â Zhu noted.",Global Times(China),https://www.globaltimes.cn/page/202202/1251459.shtml,china/diplomacy
